word,m.11,m.12,m.13,m.14,m.15,m.16,m.17,m.18,m.19,m.20,m.21,m.22,m.23,m.24
"amusant",0,0,0,0,0,1,0,0,1,0,1,5,3,0
"amuse",0,1,10,4,5,0,4,3,4,1,3,1,2,3
"amusement",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"amusent",0,0,0,0,0,0,0,0,0,0,0,3,0,0
"amuser",0,1,1,1,0,0,1,0,0,0,0,4,2,1
"amuses",0,0,1,0,0,1,8,1,0,1,0,1,0,2
"amusé",0,0,1,0,1,1,0,0,0,0,1,1,0,1
"amusés",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"amène",0,1,1,2,6,2,0,4,0,3,1,1,2,4
"amènerai",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"amènerais",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"amènes",0,0,4,0,4,1,1,1,2,1,1,2,2,1
"amé",0,3,0,0,0,0,11,3,24,1,1,4,5,0
"amélie",6,0,4,0,9,0,0,3,0,0,0,4,1,0
"améliore",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"américain",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"américaine",0,0,0,0,0,0,0,0,0,0,1,0,1,0
"américains",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"an",0,10,3,5,6,0,3,1,2,1,2,1,3,1
"ana",0,16,34,1,0,51,26,16,26,71,0,26,23,0
"anaelle",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ananas",0,0,0,0,0,0,0,0,1,0,0,1,0,0
"anarchie",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"anatol",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"anatole",0,0,0,0,0,0,0,0,0,0,0,5,0,0
"anaëlle",0,0,0,0,0,0,0,0,0,0,0,1,1,0
"anaïs",0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ancienne",0,0,0,0,1,0,0,0,1,0,0,0,1,0
"ancêtre",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"and",0,0,0,0,0,0,0,0,1,0,0,0,1,0
"ange",0,1,1,0,19,1,2,3,2,2,1,2,1,2
"anger",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"angine",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"anglais",1,0,0,0,0,0,0,1,0,0,0,3,1,2
"angle",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"angleterre",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"animal",0,1,0,0,0,0,1,0,4,0,0,1,8,9
"animall",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"animation",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"animaux",7,4,0,4,8,2,2,9,6,3,10,4,16,17
"animer",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"animé",0,0,1,0,0,0,0,3,0,0,0,3,1,1
"animés",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ann",0,0,0,0,0,0,0,0,0,0,0,2,0,0
"anne",0,0,0,0,0,0,0,0,0,0,0,13,13,38
"anneau",0,0,0,0,0,0,1,0,0,0,0,0,1,1
"annette",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"annie",0,0,0,0,0,0,0,0,0,0,0,1,3,4
"anniversaire",0,3,0,0,0,0,0,0,0,2,0,0,6,7
